Index,Width,Length,Height,Part
0,90,530,25,Leg
1,90,530,25,Leg
2,90,530,25,Leg
3,90,530,25,Leg
4,70,360,18,Top
5,70,360,18,Top
6,70,360,18,Top
7,70,360,18,Top
8,70,360,18,Top
9,61,355,18,Side
10,61,355,18,Side
11,61,355,18,Side
12,61,355,18,Side
13,90,530,25,Leg
14,90,530,25,Leg
15,90,530,25,Leg
16,90,530,25,Leg
17,70,360,18,Top
18,70,360,18,Top
19,70,360,18,Top
20,70,360,18,Top
21,70,360,18,Top
22,61,355,18,Side
23,61,355,18,Side
24,61,355,18,Side
25,61,355,18,Side
26,90,530,25,Leg
27,90,530,25,Leg
28,90,530,25,Leg
29,90,530,25,Leg
30,70,360,18,Top
31,70,360,18,Top
32,70,360,18,Top
33,70,360,18,Top
34,70,360,18,Top
35,61,355,18,Side
36,61,355,18,Side
37,61,355,18,Side
38,61,355,18,Side

